iter	Passed	Remaining
1284	8973	11975
1285	8979	11968
1286	8986	11961
1287	8992	11953
1288	8998	11944
1289	9004	11935
1290	9010	11928
1291	9016	11920
1292	9024	11914
1293	9029	11905
1294	9038	11900
1295	9046	11894
1296	9054	11888
1297	9060	11880
1298	9066	11872
1299	9074	11866
1300	9080	11858
1301	9088	11852
1302	9095	11845
1303	9101	11837
1304	9108	11830
1305	9114	11822
1306	9121	11815
1307	9129	11809
1308	9136	11802
1309	9143	11795
1310	9150	11788
1311	9156	11780
1312	9162	11772
1313	9171	11767
1314	9176	11758
1315	9182	11750
1316	9189	11743
1317	9195	11735
1318	9202	11728
1319	9208	11719
1320	9214	11711
1321	9220	11703
1322	9227	11696
1323	9233	11688
1324	9240	11680
1325	9247	11674
1326	9253	11665
1327	9259	11658
1328	9265	11649
1329	9272	11642
1330	9279	11635
1331	9284	11627
1332	9292	11620
1333	9298	11612
1334	9304	11604
1335	9309	11595
1336	9315	11587
1337	9321	11578
1338	9326	11569
1339	9334	11563
1340	9340	11556
1341	9346	11547
1342	9353	11539
1343	9359	11531
1344	9365	11524
1345	9372	11517
1346	9379	11510
1347	9386	11502
1348	9392	11495
1349	9398	11487
1350	9405	11480
1351	9412	11472
1352	9418	11465
1353	9425	11458
1354	9433	11451
1355	9438	11443
1356	9444	11434
1357	9450	11426
1358	9456	11418
1359	9463	11411
1360	9470	11404
1361	9477	11398
1362	9484	11390
1363	9490	11383
1364	9497	11376
1365	9503	11368
1366	9510	11360
1367	9517	11353
1368	9524	11347
1369	9532	11342
1370	9539	11334
1371	9545	11326
1372	9552	11319
1373	9558	11311
1374	9564	11303
1375	9571	11296
1376	9578	11289
1377	9584	11281
1378	9590	11272
1379	9595	11264
1380	9601	11256
1381	9607	11248
1382	9614	11240
1383	9620	11232
1384	9625	11223
1385	9631	11215
1386	9637	11208
1387	9645	11202
1388	9654	11197
1389	9662	11191
1390	9669	11185
1391	9676	11178
1392	9684	11172
1393	9691	11165
1394	9699	11159
1395	9705	11151
1396	9714	11146
1397	9722	11141
1398	9729	11134
1399	9735	11126
1400	9742	11119
1401	9750	11113
1402	9756	11106
1403	9763	11098
1404	9771	11092
1405	9778	11085
1406	9785	11079
1407	9791	11071
1408	9797	11063
1409	9805	11056
1410	9811	11049
1411	9819	11043
1412	9826	11037
1413	9833	11030
1414	9840	11022
1415	9846	11014
1416	9852	11006
1417	9859	10999
1418	9866	10992
1419	9872	10984
1420	9879	10977
1421	9888	10972
1422	9894	10965
1423	9900	10957
1424	9907	10950
1425	9913	10942
1426	9920	10935
1427	9926	10927
1428	9932	10919
1429	9938	10911
1430	9945	10904
1431	9952	10897
1432	9958	10890
1433	9965	10883
1434	9972	10876
1435	9979	10869
1436	9985	10861
1437	9992	10853
1438	9997	10845
1439	10003	10837
1440	10010	10830
1441	10017	10823
1442	10024	10816
1443	10031	10809
1444	10038	10802
1445	10045	10795
1446	10051	10787
1447	10058	10780
1448	10063	10771
1449	10069	10764
1450	10078	10758
1451	10086	10752
1452	10092	10745
1453	10100	10739
1454	10107	10732
1455	10113	10725
1456	10120	10717
1457	10126	10710
1458	10133	10703
1459	10140	10695
1460	10147	10688
1461	10152	10680
1462	10159	10673
1463	10165	10665
1464	10172	10658
1465	10179	10651
1466	10186	10645
1467	10194	10638
1468	10200	10630
1469	10206	10623
1470	10213	10616
1471	10221	10610
1472	10228	10603
1473	10234	10595
1474	10240	10587
1475	10247	10580
1476	10253	10572
1477	10258	10564
1478	10265	10556
1479	10273	10551
1480	10280	10544
1481	10287	10537
1482	10295	10531
1483	10301	10523
1484	10308	10516
1485	10316	10510
1486	10323	10503
1487	10329	10496
1488	10336	10489
1489	10342	10481
1490	10350	10475
1491	10356	10467
1492	10363	10460
1493	10370	10454
1494	10377	10446
1495	10384	10440
1496	10391	10432
1497	10397	10425
1498	10403	10417
1499	10409	10409
1500	10415	10401
1501	10421	10393
1502	10427	10385
1503	10434	10379
1504	10442	10373
1505	10449	10366
1506	10455	10358
1507	10463	10352
1508	10471	10346
1509	10479	10340
1510	10489	10336
1511	10496	10329
1512	10502	10322
1513	10508	10314
1514	10514	10306
1515	10520	10298
1516	10526	10290
1517	10532	10282
1518	10538	10274
1519	10544	10267
1520	10552	10260
1521	10559	10254
1522	10565	10246
1523	10571	10238
1524	10578	10231
1525	10585	10225
1526	10591	10216
1527	10597	10208
1528	10604	10202
1529	10610	10194
1530	10617	10187
1531	10623	10179
1532	10629	10172
1533	10637	10165
1534	10643	10157
1535	10649	10150
1536	10656	10143
1537	10662	10135
1538	10668	10127
1539	10674	10119
1540	10680	10111
1541	10686	10104
1542	10693	10097
1543	10698	10089
1544	10705	10082
1545	10712	10075
1546	10718	10067
1547	10726	10060
1548	10733	10054
1549	10739	10046
1550	10745	10039
1551	10752	10032
1552	10758	10024
1553	10765	10017
1554	10771	10009
1555	10777	10002
1556	10783	9994
1557	10790	9986
1558	10796	9979
1559	10802	9971
1560	10808	9964
1561	10815	9956
1562	10821	9949
1563	10827	9941
1564	10834	9934
1565	10841	9927
1566	10847	9919
1567	10853	9911
1568	10859	9904
1569	10865	9896
1570	10872	9889
1571	10877	9881
1572	10883	9873
1573	10889	9865
1574	10897	9860
1575	10904	9852
1576	10911	9845
1577	10917	9838
1578	10925	9832
1579	10931	9824
1580	10937	9817
1581	10944	9809
1582	10950	9802
1583	10958	9795
1584	10965	9789
